index;imdbID;tmdbID;imdbRating;imdbVoteCount;tmdbRating;originalTitle;genres;countries;year;runtime;cast;significants;title;overview;tagline;video;posterPath;poster_URLs_original;age;netflix;disney;prime;hbo
0;tt0186726;34766;64;7344;62;Zenon: Girl of the 21st Century;[12, 35, 10751];['US'];1999;97;['Kirsten Storms', 'Raven-Symoné', 'Stuart Pankin', 'Holly Fulger', 'Frederick Coffin', 'Bob Bancroft', 'Greg Thirloway'];['Kenneth Johnson'];Zenon: Girl of the 21st Century;Zenon Kar, a 13-year-old girl who lives on a space station in the year 2049, gets into some trouble and is banished to Earth. With help from some Earth friends she must find her way back.;;qAklH_3E4Hs;/aaasI95hIbBnl6i85hjHY6suM9d.jpg;https://image.tmdb.org/t/p/original/aaasI95hIbBnl6i85hjHY6suM9d.jpg;0;False;True;False;False
1;tt3544734;278774;52;4744;62;Zapped;[35, 10751, 14];['CA'];2014;92;['Zendaya', 'Chanelle Peloso', 'Spencer Boldman', 'Emilia McCarthy', 'Adam DiMarco', 'William Ainscough', 'Aleks Paunovic'];['Peter DeLuise'];Zapped;Zoey is a talented dancer whose organized life is rudely disrupted when she moves in with her new step-dad and three step-brothers, until she discovers a dog-training app that can get boys to obey her every command. But she soon learns that it isn't the cure-all she had hoped for.;Boys will be boys... but better;vcqcmib3eKI;/u33QFfbvChD5LNcuZD0LsSVnoa1.jpg;https://image.tmdb.org/t/p/original/u33QFfbvChD5LNcuZD0LsSVnoa1.jpg;2;False;True;False;False
2;tt9766166;599521;60;1964;78;Z-O-M-B-I-E-S 2;[4, 10749];['US'];2020;84;['Meg Donnelly', 'Milo Manheim', 'Trevor Tordjman', 'Kylee Russell', 'Carla Jeffery', 'Chandler Kinney', 'Pearce Joza'];['Paul Hoen'];Z-O-M-B-I-E-S 2;Zed and Addison are back at Seabrook High, where, after a groundbreaking semester, they continue to steer both their school and community toward unity. But the arrival of a new group of outsiders – mysterious werewolves – threatens to shake up the newfound peace and causes a rift in Zed and Addison’s budding romance.;There's a new pack in town;3K-7W9KSi5o;/frTwEqSMWQ27oQeuiBO5PT0ZNqq.jpg;https://image.tmdb.org/t/p/original/frTwEqSMWQ27oQeuiBO5PT0ZNqq.jpg;5;False;True;False;False
3;tt6878820;483980;62;4638;75;Z-O-M-B-I-E-S;[10751, 4, 10749];['US'];2018;94;['Milo Manheim', 'Meg Donnelly', 'Trevor Tordjman', 'Kylee Russell', 'Carla Jeffery', 'Kingston Foster', 'James Godfrey'];['Paul Hoen'];Z-O-M-B-I-E-S;Two star-crossed freshmen – a zombie, Zed and a cheerleader, Addison – each outsiders in their unique ways, befriend each other and work together to show their high school and the Seabrook community what they can achieve when they embrace their differences.;At Seabrook High, it's Zoms vs. Poms;VSC7AjafRPA;/6S9O5U7Ietqh6zTtZhGbhbA3Pze.jpg;https://image.tmdb.org/t/p/original/6S9O5U7Ietqh6zTtZhGbhbA3Pze.jpg;6;False;True;False;False
4;tt0318850;42418;56;1144;67;Young Black Stallion;[12, 10751, 18];['US'];2003;49;['Biana Tamimi', 'Richard Romanus', 'Patrick Elias', 'Gérard Rudolf', 'Ali Al Ameri', 'Andries Rossouw'];['Simon Wincer'];Young Black Stallion;When courageous young Neera becomes separated from her family in the desert, she chances upon a wild colt. Together they find friendship, trust, and their way back home only to discover her family is about to lose everything!;The greatest story of friendship ever told.;mYs9nBLFT5A;/emHK0UPlznLOkeu1Ml4ctoEQGp7.jpg;https://image.tmdb.org/t/p/original/emHK0UPlznLOkeu1Ml4ctoEQGp7.jpg;1;False;True;False;False
5;tt0329783;111485;61;1853;57;You Wish!;[10751, 14];['US'];2003;87;['A.J. Trauth', 'Spencer Breslin', 'Lalaine', 'Tim Reid', 'Sally Stockwell', 'Peter Feeney', 'Ari Boyland'];['Paul Hoen'];You Wish!;Alex is a high school student who always feels like he is overshadowed by his little brother Stevie;;;;;;;;;
6;tt0153992;206328;47;655;54;You Lucky Dog;[35, 10751, 14];[];1998;88;['Kirk Cameron', 'Chelsea Noble', 'John de Lancie', 'Christine Healy', 'Taylor Negron', 'James Avery', 'Jane Carr'];['Paul Schneider'];You Lucky Dog;Jack Morgan is a dog therapist, once famous for being able to read his dog's mind. Although Jack cannot read the minds of other dogs, he still operates a canine mind-reading business, without divulging his inability to customers. Mr. Mooney and his wife bring their dog to see Jack. Dissatisfied with Jack's inability to read his dog's mind, Mr. Mooney, who is a friend of the city mayor, threatens to have his business closed down. After the Mooneys leave, a wealthy man named Clyde Windsor brings his dog, Lucky, to see Jack, who is stunned by his ability to read the dog's mind. He seems worried by this fact and ends the session early. Before Windsor leaves, Jack informs him that Lucky is bothered by three individuals that live with him.;;lNVNBiOxkdc;/w30KyjYlvi6KJ7Es2UkhGsVmGzy.jpg;https://image.tmdb.org/t/p/original/w30KyjYlvi6KJ7Es2UkhGsVmGzy.jpg;2;False;True;False;False
7;tt1414382;38303;58;50698;63;You Again;[35, 10749];['US'];2010;105;['Kristen Bell', 'Jamie Lee Curtis', 'Sigourney Weaver', 'Odette Annable', 'Victor Garber', 'Betty White', 'Kristin Chenoweth'];['Andy Fickman'];You Again;History -- make that high school -- may repeat itself when Marni learns that Joanna, the mean girl from her past, is set to be her sister-in-law. Before the wedding bells toll, Marni must show her brother that a tiger doesn't change its stripes. On Marni's side is her mother, while Joanna's backed by her wealthy aunt.;What doesn't kill you... is going to marry your brother.;S1-UMzt9e34;/9qI5JE6yjmtakTankuDOMZ1vgEx.jpg;https://image.tmdb.org/t/p/original/9qI5JE6yjmtakTankuDOMZ1vgEx.jpg;3;False;True;False;False
8;tt0206446;153292;69;271;80;Yellowstone Cubs;[12, 10751];['US'];1963;48;['Rex Allen'];['Charles L Draper'];Yellowstone Cubs;Two bear cubs, Tuffy and Tubby, are separated from their mother and spend an entire summer romping through Yellowstone National Park. In the meantime, the mother bear follows their trail as she searches for them.;;;/rpzX0LmveM5lioBVAsWafIGCajW.jpg;https://image.tmdb.org/t/p/original/rpzX0LmveM5lioBVAsWafIGCajW.jpg;2;False;True;False;False
9;tt0290334;36658;74;530189;70;X2;[28, 878, 53];['US'];2003;133;['Patrick Stewart', 'Hugh Jackman', 'Ian McKellen', 'Halle Berry', 'Famke Janssen', 'James Marsden', 'Anna Paquin'];['Bryan Singer'];X2;Professor Charles Xavier and his team of genetically gifted superheroes face a rising tide of anti-mutant sentiment led by Col. William Stryker. Storm, Wolverine and Jean Grey must join their usual nemeses—Magneto and Mystique—to unhinge Stryker's scheme to exterminate all mutants.;The time has come for those who are different to stand united.;yVzqz_zpP20;/tRDvoi7z7B6YdzoRcRQ8LwLA47q.jpg;https://image.tmdb.org/t/p/original/tRDvoi7z7B6YdzoRcRQ8LwLA47q.jpg;10;False;True;False;False
