index;imdbID;tmdbID;imdbRating;imdbVoteCount;tmdbRating;originalTitle;genres;countries;year;runtime;cast;significants;title;overview;tagline;video;posterPath;poster_URLs_original;age;netflix;disney;prime;hbo
0;tt0089374;9056;76;34013;75;警察故事;[28, 80];['HK'];1985;101;['Jackie Chan', 'Brigitte Lin', 'Maggie Cheung', 'Bill Tung', 'Chor Yuen', 'Charlie Cho', 'Mars'];['Jackie Chan'];Police Story;Officer Chan Ka Kui manages to put a major Hong Kong drug dealer behind the bars practically alone, after a shooting and an impressive chase inside a slum. Now, he must protect the boss' secretary, Selina, who will testify against the gangster in court.;You may know the name, but the game has changed.;EpXMJ3wo0kI;/yeIiwdBBw15w0n7QkOvok8wBdMs.jpg;https://image.tmdb.org/t/p/original/yeIiwdBBw15w0n7QkOvok8wBdMs.jpg;13;False;False;False;True
1;tt0050613;3777;81;50154;79;蜘蛛巣城;[18, 36];['JP'];1957;108;['Toshirō Mifune', 'Isuzu Yamada', 'Takashi Shimura', 'Akira Kubo', 'Hiroshi Tachikawa', 'Minoru Chiaki', 'Takamaru Sasaki'];['Akira Kurosawa'];Throne of Blood;"Returning to their lord's castle, samurai warriors Washizu and Miki are waylaid by a spirit who predicts their futures. When the first part of the spirit's prophecy comes true, Washizu's scheming wife, Asaji, presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. Director Akira Kurosawa's resetting of William Shakespeare's ""Macbeth"" in feudal Japan is one of his most acclaimed films.";"From the creator of ""Rashomon"" and ""Ikiru"".";2-72oaAS9hc;/iDmEAMZd3eYxfcK9EXVOddtEb7e.jpg;https://image.tmdb.org/t/p/original/iDmEAMZd3eYxfcK9EXVOddtEb7e.jpg;11;False;False;False;True
2;tt0118694;843;81;138667;81;花樣年華;[18, 10749];['CN', 'HK'];2000;99;['Tony Leung Chiu-wai', 'Maggie Cheung', 'Rebecca Pan', 'Kelly Lai Chen', 'Siu Ping-lam', 'Mama Hung', 'Joe Cheung'];['Wong Kar-wai'];In the Mood for Love;Hong Kong, 1962: Chow Mo-Wan (Tony Leung Chiu Wai) and Su Li-Zhen (Maggie Cheung Man Yuk) move into neighboring apartments on the same day. Their encounters are formal and polite—until a discovery about their spouses creates an intimate bond between them.;Feel the heat, keep the feeling burning, let the sensation explode.;voxgXPj21AA;/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg;https://image.tmdb.org/t/p/original/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg;7;False;False;False;True
3;tt0113824;37797;79;57760;79;耳をすませば;[16, 18, 10751];['JP'];1995;111;['Yoko Honna', 'Issey Takahashi', 'Takashi Tachibana', 'Shigeru Muroi', 'Shigeru Tsuyuguchi', 'Keiju Kobayashi', 'Yorie Yamashita'];['Yoshifumi Kondou'];Whisper of the Heart;Shizuku lives a simple life, dominated by her love for stories and writing. One day she notices that all the library books she has have been previously checked out by the same person: 'Seiji Amasawa'.;I found someone I like;0pVkiod6V0U;/sap0BXb6dJUhkDbJEd6nurMQrwq.jpg;https://image.tmdb.org/t/p/original/sap0BXb6dJUhkDbJEd6nurMQrwq.jpg;2;False;False;False;True
4;tt0042876;548;82;161400;82;羅生門;[80, 18, 9648];['JP'];1950;88;['Toshirō Mifune', 'Machiko Kyō', 'Takashi Shimura', 'Masayuki Mori', 'Minoru Chiaki', 'Kichijirô Ueda', 'Noriko Honma'];['Akira Kurosawa'];Rashomon;"Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.";The husband, the wife… or the bandit?;xCZ9TguVOIA;/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg;https://image.tmdb.org/t/p/original/vL7Xw04nFMHwnvXRFCmYYAzMUvY.jpg;12;False;False;False;True
5;tt0048579;31374;74;6072;72;続宮本武蔵　一乗寺の決闘;[28, 12, 1];['JP'];1955;103;['Toshirō Mifune', 'Koji Tsuruta', 'Kaoru Yachigusa', 'Mariko Okada', 'Michiyo Kogure', 'Akihiko Hirata', 'Mitsuko Mito'];['Hiroshi Inagaki'];Samurai II: Duel at Ichijoji Temple;After years on the road establishing his reputation as Japan's greatest fencer, Takezo returns to Kyoto. Otsu waits for him, yet he has come not for her but to challenge the leader of the region's finest school of fencing. To prove his valor and skill, he walks deliberately into ambushes set up by the school's followers. While Otsu waits, Akemi also seeks him, expressing her desires directly. Meanwhile, Takezo is observed by Sasaki Kojiro, a brilliant young fighter, confident he can dethrone Takezo. After leaving Kyoto in triumph, Takezo declares his love for Otsu, but in a way that dishonors her and shames him. Once again, he leaves alone.;;;/nybLbDfegJOUMzsdrWWvLTD4kY0.jpg;https://image.tmdb.org/t/p/original/nybLbDfegJOUMzsdrWWvLTD4kY0.jpg;11;False;False;False;True
6;tt6848624;459414;68;611;74;終わらない人 宮崎駿;[99, 1];['JP'];2016;70;['Hayao Miyazaki', 'Toshio Suzuki', 'Yukinori Nakamura', 'Nobuo Kawakami', 'Atsushi Okui', 'Michiyo Yasuda', 'Yuhei Sakuragi'];['Kaku Arakawa'];Never-Ending Man: Hayao Miyazaki;A look at legendary Japanese animator Hayao Miyazaki following his retirement in 2013.;;7od_hvrGeHo;/bGY06vKuWv16xPiVi8KpabNG29h.jpg;https://image.tmdb.org/t/p/original/bGY06vKuWv16xPiVi8KpabNG29h.jpg;5;False;False;False;True
7;tt0104652;11621;77;84113;78;紅の豚;[16, 12, 35];['JP'];1992;94;['Shûichirô Moriyama', 'Tokiko Katô', 'Sanshi Katsura', 'Tsunehiko Kamijô', 'Akemi Okamura', 'Akio Otsuka', 'Hiroko Seki'];['Hayao Miyazaki'];Porco Rosso;In Italy in the 1930s, sky pirates in biplanes terrorize wealthy cruise ships as they sail the Adriatic Sea. The only pilot brave enough to stop the scourge is the mysterious Porco Rosso, a former World War I flying ace who was somehow turned into a pig during the war. As he prepares to battle the pirate crew's American ace, Porco Rosso enlists the help of spunky girl mechanic Fio Piccolo and his longtime friend Madame Gina.;A Pig's Got to Fly;fmyrWYrvF5s;/byKAndF6KQSDpGxp1mTr23jPbYp.jpg;https://image.tmdb.org/t/p/original/byKAndF6KQSDpGxp1mTr23jPbYp.jpg;4;False;False;False;True
8;tt0053579;21967;80;5153;78;秋日和;[18];['JP'];1960;128;['Setsuko Hara', 'Yôko Tsukasa', 'Mariko Okada', 'Keiji Sada', 'Miyuki Kuwano', 'Shinichirô Mikami', 'Shin Saburi'];['Yasujirō Ozu'];Late Autumn;A mother gets help from her late husband's three friends in order to get her daughter married to a well-settled man.;;AesKljdLKG4;/zdcS3UvySOsQ1tZURtQi9ghueuG.jpg;https://image.tmdb.org/t/p/original/zdcS3UvySOsQ1tZURtQi9ghueuG.jpg;7;False;False;False;True
9;tt10253816;567006;68;1029;74;甲鉄城のカバネリ～海門決戦～;[16, 28, 12];['JP'];2019;82;['Sayaka Senbongi', 'Maaya Uchida', 'Toshiki Masuda', 'Kanae Oki', 'Ryota Osaka', 'Tasuku Hatanaka', 'Mariya Ise'];['Tetsuro Araki'];Kabaneri of the Iron Fortress: The Battle of Unato;"Half a year after the events of the series ""Kabaneri of the Iron Fortress"", the team attempt to take back Unato castle.";;hXTND9cew1Q;/6t1esuYHkOFO5SejAVFlu6alChr.jpg;https://image.tmdb.org/t/p/original/6t1esuYHkOFO5SejAVFlu6alChr.jpg;16;False;False;False;True
