index;imdbID;tmdbID;imdbRating;imdbVoteCount;tmdbRating;originalTitle;genres;countries;year;runtime;cast;significants;title;overview;tagline;video;posterPath;poster_URLs_original;age;netflix;disney;prime;hbo
0;tt13667212;629277;43;309;69;차인표;[35];['KR'];2021;102;['Cha In-pyo', 'Jo Dal-hwan', 'Song Jae-ryong', 'Ji Seung-hyun', 'Shin Ae-ra', 'Shin Shin-ae', 'Ryu Seung-ryong'];['Kim Dong-gyu'];What Happened to Mr Cha?;With the peak of his career long behind him, an actor clings to his past glory — until a sudden wake-up call forces him to face who he's become.;;d7ZP8ywcn8g;/fzUXLPjTDihfcnCxWdVJOAj6oCd.jpg;https://image.tmdb.org/t/p/original/fzUXLPjTDihfcnCxWdVJOAj6oCd.jpg;12;True;False;False;False
1;tt14781176;604360;53;2615;61;제8일의 밤;[27, 53];['KR'];2021;115;['Lee Sung-min', 'Nam Da-reum', 'Park Hae-jun', 'Kim You-jung', 'Kim Dong-young', 'Lee Eol', 'Choi Jin-ho'];['Kim Tae-hyoung'];The 8th Night;With prayer beads in one hand and an ax in the other, a monk hunts down a millennia-old spirit that's possessing humans and unleashing hell on Earth.;Dark night of the soul.;;/trSDStH3UP4ux4lAILNNSqDXSB3.jpg;https://image.tmdb.org/t/p/original/trSDStH3UP4ux4lAILNNSqDXSB3.jpg;16;True;False;False;False
2;tt3967878;467824;60;4775;64;인랑;[28, 878];['KR'];2018;140;['Gang Dong-won', 'Han Hyo-joo', 'Kim Moo-yul', 'Jung Woo-sung', 'Heo Joon-ho', 'Han Yeri', 'Choi Min-ho'];['Kim Jee-woon'];Illang: The Wolf Brigade;In 2029, the elite police squad Illang combats a terrorist group opposing reunification of the two Koreas. But another enemy may be lurking nearby.;;OlI7wWCLMNM;/71JMWqNDRz2Au59JYosfn5W8nuS.jpg;https://image.tmdb.org/t/p/original/71JMWqNDRz2Au59JYosfn5W8nuS.jpg;15;True;False;False;False
3;tt14880280;840611;40;35;35;이수근의 눈치코치;[35];[];2021;45;['Lee Su-geun'];['Kim Joo-hyung'];Lee Su-geun: The Sense Coach;Lee Su-geun's rise to Korean comedy stardom went hand in hand with his mastery over picking up social cues. Now, he's ready to share his know-hows.;;;/2TrJlzzsYaFkZbZXtPQ9tMI9GgO.jpg;https://image.tmdb.org/t/p/original/2TrJlzzsYaFkZbZXtPQ9tMI9GgO.jpg;7;True;False;False;False
4;tt10763618;570503;72;3237;79;유열의 음악앨범;[18, 10749];['KR'];2019;122;['Kim Go-eun', 'Jung Hae-in', 'Park Hae-jun', 'Kim Kuk-hee', 'Jung Yoo-jin', 'Choi Jun-young', 'Nam Moon-chul'];['Jung Ji-woo'];Tune in for Love;In 1994, on the first day that Yoo Yeul went on air as the new DJ of the popular radio show ‘Music Album,' a college girl Mi-su meets Hyun-woo who happens to drop by the bakery she works at. Like the music streaming from the radio, their frequencies slowly come in sync;;;;;;;;;
5;tt13866142;783753;66;609;85;위시유;[18, 10402, 10749];['KR'];2021;101;['Kang In-soo', 'Lee Sang', 'Park Soo-bin', 'Baek Seo-bin'];['Sung Do-joon'];Wish You;Singing and dreaming together, a talented singer-songwriter and a same-aged keyboardist add harmony and love to each other's lives.;;;/lvYrAUfx9DkhLVC07vD8wJQK3iA.jpg;https://image.tmdb.org/t/p/original/lvYrAUfx9DkhLVC07vD8wJQK3iA.jpg;10;True;False;False;False
6;tt6890582;452015;59;5314;62;염력;[28, 14];['KR'];2018;101;['Ryu Seung-ryong', 'Shim Eun-kyung', 'Park Jeong-min', 'Kim Min-jae', 'Jung Yu-mi', 'Yoo Seung-mok', 'Kim Yeong-seon'];['Yeon Sang-ho'];Psychokinesis;An ordinary guy suddenly finds he has superpowers he can use to help his spirited daughter and the people around them, but he also runs into trouble in the process.;;1EkIWVjBBc0;/tyTAYYWHyfDcAXYmNa0ifm1JrD.jpg;https://image.tmdb.org/t/p/original/tyTAYYWHyfDcAXYmNa0ifm1JrD.jpg;15;True;False;False;False
7;tt7738048;574303;64;1948;61;악질경찰;[28, 80, 18];['KR'];2019;127;['Lee Sun-kyun', 'Jeon So-nee', 'Park Hae-jun', 'Song Young-chang', 'Park Byung-eun', 'Kim Min-jae', 'Kwon Han-sol'];['Lee Jeong-beom'];Jo Pil-ho: The Dawning Rage;On the run from a dogged internal affairs agent, a corrupt cop reluctantly teams up with a defiant teen to unravel a conspiracy -- before it's too late.;;yLTTEkgsBEc;/k4QPUYRupu7Jv8ZWS9hiLw5OuhB.jpg;https://image.tmdb.org/t/p/original/k4QPUYRupu7Jv8ZWS9hiLw5OuhB.jpg;17;True;False;False;False
8;tt12838766;581389;66;22504;72;승리호;[28, 12, 18];['KR'];2021;136;['Song Joong-ki', 'Kim Tae-ri', 'Yoo Hae-jin', 'Jin Sun-kyu', 'Richard Armitage', 'Kim Moo-yul', 'Park Ye-rin'];['Jo Sung-hee'];Space Sweepers;When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.;2092, the space sweep begins!;H1WYnJF1Pwo;/p9YDHJKvUoi7v2SCd3vLGPae1Xp.jpg;https://image.tmdb.org/t/p/original/p9YDHJKvUoi7v2SCd3vLGPae1Xp.jpg;14;True;False;False;False
9;tt3516378;253065;72;3075;73;수상한 그녀;[35, 14, 10402];['KR'];2014;124;['Shim Eun-kyung', 'Lee Jin-wook', 'Jung Jin-young', 'Park In-hwan', 'Sung Dong-il', 'Na Moon-hee', 'Hwang Jeong-min'];['Hwang Dong-hyuk'];Miss Granny;An unappreciated old granny magically turns 20 years old again and decides to make the most of her newfound youth.;She's back... in her twenties!;;/kQcSCLOxqJlRyqAPnj4B0UTXIfF.jpg;https://image.tmdb.org/t/p/original/kQcSCLOxqJlRyqAPnj4B0UTXIfF.jpg;13;True;False;False;False
10;tt14599938;662237;67;1887;79;새콤달콤;[35, 10749];['KR'];2021;101;['Jang Ki-yong', 'Chae Soo-bin', 'Krystal Jung', 'Lee Woo-je', 'Park Chul-min', 'Kim Mi-kyeong', 'Hwang Jeong-min'];['Lee Kae-byeok'];Sweet & Sour;Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.;Did you think it would stay sweet forever? Then why is it so sour?;hZORUEZd_pg;/3yGwAPl6LWpi8QwHjwCMaqsPgNB.jpg;https://image.tmdb.org/t/p/original/3yGwAPl6LWpi8QwHjwCMaqsPgNB.jpg;14;True;False;False;False
