,index,imdbID,tmdbID,imdbRating,imdbVoteCount,tmdbRating,originalTitle,genres,countries,year,runtime,cast,significants,title,overview,tagline,video,posterPath,poster_URLs_original,age,netflix,disney,prime,hbo,continent
8686,254,tt4191054,302429,58,10770,71,Strange Magic,"[16, 12]",US,2015,99,"['Alan Cumming', 'Evan Rachel Wood', 'Elijah Kelley', 'Meredith Anne Bull', 'Sam Palladio', 'Kristin Chenoweth', 'Maya Rudolph']",['Gary Rydstrom'],Strange Magic,"A love potion works its devious charms on fairies, elves and the swamp-dwelling Bog King as they all try to possess the potion for themselves.",Everyone Deserves to be Loved.,3wv7Li2V7S8,/vjCdrK8gGRFnyuZb1j9BzgN2RaY.jpg,https://image.tmdb.org/t/p/original/vjCdrK8gGRFnyuZb1j9BzgN2RaY.jpg,3.0,False,True,False,False,North America
8687,255,tt1245537,214167,64,215,68,Stonehenge Decoded: Secrets Revealed,"[99, 36]",__,2008,92,"['Donald Sutherland', 'Mike Parker Pearson']",['Christopher Spencer'],Stonehenge Decoded: Secrets Revealed,"Journey back 4,500 years to unlock the secrets of the world's most enduring archaeological mysteryâ€”Stonehenge. Stonehenge Decoded presents world-renowned archaeologists as they reveal a revolutionary new theory about who built Stonehenge and why. Thanks to a recent discovery of a lost city just two miles from the famous stone circle, our understanding of this era is now transformed.  Featuring dramatic recreations, groundbreaking new discoveries, and fascinating interviews, Stonehenge Decoded transports us back to an ancient time to shed new light on this mysterious monument in ways never before possible.",,,/vOuBjv2ISNFPl7ZAz0Eu5hC9nLd.jpg,https://image.tmdb.org/t/p/original/vOuBjv2ISNFPl7ZAz0Eu5hC9nLd.jpg,7.0,False,True,False,False,Others
8688,256,tt0348124,15567,62,9210,65,Stitch! The Movie,"[16, 12, 35]",US,2003,60,"['Daveigh Chase', 'Chris Sanders', 'Tia Carrere', 'David Ogden Stiers', 'Kevin McDonald', 'Liliana Mumy', 'Jeff Bennett']","['Tony Craig', 'Roberts Gannaway']",Stitch! The Movie,"The continuing adventures of Lilo, a little Hawaiian girl, and Stitch, the galaxy's most wanted extraterrestrial. Stitch, Pleakley, and Dr. Jumba are all part of the household now. But what Lilo and Stitch don't know is that Dr. Jumba brought one of his alien ""experiments"" to Hawaii.",Stitch was Experiment 626...meet the other 625!,dUr6plz3NHU,/Apq6rZlmKnWIsctO8PkUvLFEJYq.jpg,https://image.tmdb.org/t/p/original/Apq6rZlmKnWIsctO8PkUvLFEJYq.jpg,1.0,False,True,False,False,North America
8689,257,tt0250754,70773,59,1504,54,Stepsister from Planet Weird,"[35, 10751, 878]",__,2000,85,"['Courtnee Draper', 'Tamara Hope', 'Lance Guest', 'Khrystyne Haje', 'Vanessa Lee Chester', 'Myles Jeffrey', 'Lauren Maltby']",['Steve Boyum'],Stepsister from Planet Weird,Megan's world is turned upside down when she hears her calm life with her little brother and single mum is about to change. She hears she's soon to have a stepfather and a stepsister. Megan thinks they're a bit weird and is determined to stop the wedding. She discovers they're actually even stranger than she thought - they're from another planet.,,so-SMl9PDk8,/pWqLLg85Ep2hfzQKfWxG1TgIl9s.jpg,https://image.tmdb.org/t/p/original/pWqLLg85Ep2hfzQKfWxG1TgIl9s.jpg,0.0,False,True,False,False,Others
8690,258,tt1579247,35558,61,14545,70,Starstruck,"[35, 10751, 10402]",US,2010,81,"['Sterling Knight', 'Danielle Campbell', 'Brandon Mychal Smith', 'Chelsea Kane', 'Maggie Castle', 'Matt Winston', 'Toni Trucks']",['Michael Grossman'],Starstruck,"Pop star Christopher Wilde has fame, fortune and a big-budget Hollywood movie awaiting him. But after meeting Jessica Olson, a down-to-earth girl from the Midwest, he is faced with following his heart or doing what's best for his career.",,Zn-D-9su1Lw,/1CgkCNF5fYAp9d5pDzp7BEnZD0b.jpg,https://image.tmdb.org/t/p/original/1CgkCNF5fYAp9d5pDzp7BEnZD0b.jpg,1.0,False,True,False,False,North America
8691,259,tt4858674,382748,62,4877,76,Stargirl,"[35, 18, 14]",US,2020,107,"['Grace VanderWaal', 'Graham Verchere', 'Karan Brar', 'Maximiliano HernÃ¡ndez', 'Darby Stanchfield', 'Giancarlo Esposito', 'Collin Blackford']",['Julia Hart'],Stargirl,"Leo Borlock is an average student at Mica High School. He gets decent grades, is a member of the school's marching band and has always been content flying under the radar. But all that changes when he meets Stargirl Caraway, a confident and colorful new student with a penchant for the ukulele, who stands out in a crowd. She is kind, finds magic in the mundane and touches the lives of others with the simplest of gestures. Her eccentricities and infectious personality charm Leo and the student body, and she quickly goes from being ignored and ridiculed to accepted and praised, then back again, sending Leo on a rollercoaster ride of emotions.",Why be ordinary when you could be extraordinary.,fE-e7v4bvxw,/gwsrtzSrr7G6xjxsa7IwaAMHpEF.jpg,https://image.tmdb.org/t/p/original/gwsrtzSrr7G6xjxsa7IwaAMHpEF.jpg,8.0,False,True,False,False,North America
8692,260,tt2527338,181812,65,409259,65,Star Wars: The Rise of Skywalker,"[28, 12, 14]",US,2019,142,"['Carrie Fisher', 'Mark Hamill', 'Daisy Ridley', 'Adam Driver', 'John Boyega', 'Oscar Isaac', 'Anthony Daniels']",['J.J. Abrams'],Star Wars: The Rise of Skywalker,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",Every generation has a legend,8Qn_spdM5Zg,/db32LaOibwEliAmSL2jjDF6oDdj.jpg,https://image.tmdb.org/t/p/original/db32LaOibwEliAmSL2jjDF6oDdj.jpg,11.0,False,True,False,False,North America
8693,261,tt2527336,181808,69,594014,69,Star Wars: The Last Jedi,"[28, 12, 14]",US,2017,152,"['Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Andy Serkis']",['Rian Johnson'],Star Wars: The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",Darkness rises... and light to meet it,Q0CbN8sfihY,/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,https://image.tmdb.org/t/p/original/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,11.0,False,True,False,False,North America
8694,262,tt2488496,140607,78,890384,73,Star Wars: The Force Awakens,"[28, 12, 878]",US,2015,136,"['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley', 'John Boyega', 'Oscar Isaac']",['J.J. Abrams'],Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",Every generation has a story.,sGbxmsDFVnE,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,https://image.tmdb.org/t/p/original/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,11.0,False,True,False,False,North America
8695,263,tt1185834,12180,60,62196,61,Star Wars: The Clone Wars,"[16, 28, 12]",SG,2008,98,"['Matt Lanter', 'Ashley Eckstein', 'James Arnold Taylor', 'Dee Bradley Baker', 'Tom Kane', 'Nika Futterman', 'Ian Abercrombie']",['Dave Filoni'],Star Wars: The Clone Wars,"Set between Episode II and III, The Clone Wars is the first computer animated Star Wars film. Anakin and Obi Wan must find out who kidnapped Jabba the Hutt's son and return him safely. The Seperatists will try anything to stop them and ruin any chance of a diplomatic agreement between the Hutts and the Republic.",,hh3P3DoZZh4,/ywRtBu88SLAkNxD0GFib6qsFkBK.jpg,https://image.tmdb.org/t/p/original/ywRtBu88SLAkNxD0GFib6qsFkBK.jpg,6.0,False,True,False,False,Asia
8696,264,tt10951528,624371,53,139,70,Star Wars: Galaxy's Edge - Adventure Awaits,[99],__,2019,81,"['Neil Patrick Harris', 'Kaley Cuoco', 'Keegan-Michael Key', 'Jay Leno', 'Sarah Hyland', 'Miles Brown', 'Billy Dee Williams']",['Christian Lamb'],Star Wars: Galaxy's Edge - Adventure Awaits,An exclusive behind-the-scenes look at the new lands at Walt Disney World Resort in Florida and Disneyland Resort in Southern California.,,4bM0Qd20t3s,/8YONsxklf7y2fnx8mOjNeWTgfPD.jpg,https://image.tmdb.org/t/p/original/8YONsxklf7y2fnx8mOjNeWTgfPD.jpg,7.0,False,True,False,False,Others
8697,265,tt0121766,1895,75,742981,74,Star Wars: Episode III - Revenge of the Sith,"[28, 12, 14]",US,2005,140,"['Hayden Christensen', 'Ewan McGregor', 'Natalie Portman', 'Ian McDiarmid', 'Samuel L. Jackson', 'Jimmy Smits', 'Frank Oz']",['George Lucas'],Star Wars: Episode III - Revenge of the Sith,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,The saga is complete.,5UnjrG_N8hU,/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,https://image.tmdb.org/t/p/original/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,9.0,False,True,False,False,North America
8698,266,tt0121765,1894,65,670555,65,Star Wars: Episode II - Attack of the Clones,"[28, 12, 14]",US,2002,142,"['Hayden Christensen', 'Ewan McGregor', 'Natalie Portman', 'Christopher Lee', 'Samuel L. Jackson', 'Frank Oz', 'Ian McDiarmid']",['George Lucas'],Star Wars: Episode II - Attack of the Clones,"Following an assassination attempt on Senator PadmÃ© Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot that could change the galaxy forever.",A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,gYbW1F_c9eM,/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,https://image.tmdb.org/t/p/original/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,6.0,False,True,False,False,North America
8699,267,tt0120915,1893,65,761107,65,Star Wars: Episode I - The Phantom Menace,"[28, 12, 14]",US,1999,136,"['Liam Neeson', 'Ewan McGregor', 'Natalie Portman', 'Jake Lloyd', 'Ian McDiarmid', 'Pernilla August', 'Oliver Ford Davies']",['George Lucas'],Star Wars: Episode I - The Phantom Menace,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",Every generation has a legend. Every journey has a first step. Every saga has a beginning.,bD7bpG-zDJQ,/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,https://image.tmdb.org/t/p/original/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,5.0,False,True,False,False,North America
8700,268,tt14578676,825647,66,519,66,Star Wars Biomes,"[6, 878]",US,2021,18,[],[],Star Wars Biomes,"Take a virtual vacation to some of the Star Wars filmsâ€™ most iconic and beloved locations like Hoth, Tatooine, and Sorgan, as this charming series whisks you off for fly-through tours of the Galaxy Far, Far Away.",,,/8I69ReO2IZtcpXnzZpKeswpPI33.jpg,https://image.tmdb.org/t/p/original/8I69ReO2IZtcpXnzZpKeswpPI33.jpg,0.0,False,True,False,False,North America
8701,269,tt0076759,11,86,1286472,82,Star Wars,"[28, 12, 14]",US,1977,121,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Peter Cushing', 'Alec Guinness', 'Anthony Daniels', 'Kenny Baker']",['George Lucas'],Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"A long time ago in a galaxy far, far away...",XHk5kCIiGoM,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,https://image.tmdb.org/t/p/original/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,6.0,False,True,False,False,North America
8702,270,tt0111271,65158,61,1207,64,Squanto: A Warrior's Tale,"[12, 1]",US,1994,102,"['Adam Beach', 'Sheldon Peters Wolfchild', 'Irene Bedard', 'Eric Schweig', 'Leroy Peltier', 'Michael Gambon', 'Nathaniel Parker']",['Xavier Koller'],Squanto: A Warrior's Tale,"Squanto is a high-born Indian warrior from a tribe on the Atlantic coast of North America which devotes its life to hunting and rivalry with a neighboring tribe. Everything changes forever after a ship arrives from England, prospecting the region's commercial potential for the rich Sir George, who uses all his wealth and influence only for ever greater profit. When it returns, several Indians find themselves captives on board, including Squanto. The arrogant Christians consider themselves utterly superior to the 'heathen savages' and treat them as brutally as they do beasts. Squanto fights a bear in a circus, not understanding how men can be so cruel to that creature either, and manages a spectacular escape, but where must he go? He finds shelter and help in a rural monastery, where it takes his protector some effort to prevent the others considering the unknown as diabolical. In time sir George's men come looking for him most brutally...",,5SQ0RiVNQx8,/mQNYWXfUK3cEvQAQQBtwXhdaPIl.jpg,https://image.tmdb.org/t/p/original/mQNYWXfUK3cEvQAQQBtwXhdaPIl.jpg,3.0,False,True,False,False,North America
8703,271,tt1792131,70587,46,1905,62,Spooky Buddies,"[10751, 14]",CA,2011,88,"['Sierra McCormick', 'Harland Williams', 'Rance Howard', 'Elisa Donovan', 'Jennifer Elise Cox', 'Tucker Albrizzi', 'Sage Ryan']",['Robert Vince'],Spooky Buddies,Disney's irresistible talking puppies are back in an all-new movie that takes them far across town to a mysterious mansion where something very spooky is going on.,,TXQv5_79MFc,/iPXai8I7jnEZ4vbNLryV8K8bIOC.jpg,https://image.tmdb.org/t/p/original/iPXai8I7jnEZ4vbNLryV8K8bIOC.jpg,3.0,False,True,False,False,North America
8704,272,tt0088161,2619,63,74274,63,Splash,"[35, 14, 10749]",US,1984,111,"['Tom Hanks', 'Daryl Hannah', 'Eugene Levy', 'John Candy', 'Dody Goodman', 'Shecky Greene', 'Richard B. Shull']",['Ron Howard'],Splash,A successful businessman falls in love with the girl of his dreams. There's one big complication though,,,,,,,,,,North America
8705,273,tt12969826,734858,61,573,71,Spin,"[10751, 10402]",US,2021,93,"['Avantika Vandanapu', 'Kerri Medders', 'Anna Cathcart', 'Michael Bishop', 'Michela Luci', 'Agam Darshi', 'Abhay Deol']",['Manjari Makijany'],Spin,"Rhea lives with her tight-knit multigenerational family. After her motherâ€™s death, she has been her fatherâ€™s emotional rock, and her life revolves around her familyâ€™s restaurant, her eclectic group of friends, and her after-school coding club. Everything changes when she falls for aspiring DJ Max and a long lost passion for music is reignited. Rhea discovers that she has a natural gift for creating beats and producing music that blends her Indian heritage, but must find the courage to follow her true inner talent.",Music is everything.,ZzXQSqpTR-o,/iWAatef80X3zooIBQN0Y4tQCM1K.jpg,https://image.tmdb.org/t/p/original/iWAatef80X3zooIBQN0Y4tQCM1K.jpg,3.0,False,True,False,False,North America
