source,target,value
tt0046250,tt0033836,5
tt0046250,tt0028773,5
tt0033836,tt0028773,5
tt0104868,tt0865907,5
tt6723592,tt1345836,5
tt6723592,tt0278504,5
tt1345836,tt0278504,5
tt9340860,tt0212815,5
tt0043265,tt0033870,6
tt0043265,tt0080140,5
tt0033870,tt0080140,5
tt0065755,tt0059080,5
tt0197521,tt0058379,6
tt0197521,tt0060440,5
tt0058379,tt0060440,6
tt1596345,tt0450259,5
tt0970416,tt1211837,5
tt0395699,tt0452598,5
tt0120891,tt0113161,5
tt0275039,tt9217732,5
tt11024272,tt0438488,5
tt0217990,tt0106375,5
tt6878820,tt2762970,5
tt9777644,tt0124718,5
tt0285823,tt0227538,6
tt0089791,tt0367594,5
tt0358135,tt1114677,5
tt0113442,tt0120631,5
tt0287535,tt1258137,5
tt0091886,tt0469641,5
tt0120812,tt0266915,6
tt5147214,tt6116856,6
tt0120689,tt0111161,5
tt7322864,tt2414212,6
tt0052722,tt0062737,5
tt0097008,tt0398842,5
tt5362988,tt4426464,1
tt5362988,tt0463854,1
tt4426464,tt0463854,1
tt0051554,tt0121765,1
tt5431890,tt4682786,1
tt5431890,tt0383574,1
tt4682786,tt0383574,1
tt5431890,tt1759744,1
tt5431890,tt1646987,1
tt5431890,tt0800320,1
tt5431890,tt0330373,1
tt1646987,tt0800320,1
tt1646987,tt0330373,1
tt0800320,tt0330373,1
tt0138097,tt9095324,1
tt0138097,tt0346156,1
tt9095324,tt0346156,1
tt0138097,tt0120812,1
tt0138097,tt0299172,1
tt6217306,tt3120280,1
tt6217306,tt7434324,1
tt3120280,tt7434324,1
tt1833116,tt1646987,1
tt1833116,tt0438488,1
tt1833116,tt1856101,1
tt1833116,tt5397194,1
tt1833116,tt6679794,1
tt1285009,tt1047540,1
tt1285009,tt1974419,1
tt0299172,tt0101004,1
tt0046250,tt0048445,1
tt7126948,tt6679794,1
tt7126948,tt1856101,1
tt0804497,tt0395699,1
tt0804497,tt4981636,1
tt0804497,tt1054588,1
tt0395699,tt4981636,1
tt0395699,tt1054588,1
tt4981636,tt1054588,1
tt0804497,tt1656177,1
tt0804497,tt4940416,1
tt1656177,tt4940416,1
tt0980970,tt0212132,1
tt0980970,tt2236054,1
tt1047540,tt0101004,1
tt1047540,tt6473066,1
tt1656177,tt8816194,1
tt0084352,tt0079470,1
tt0084352,tt0970416,1
tt0084352,tt4426464,1
tt0084352,tt0361089,1
tt0079470,tt0970416,1
tt0079470,tt4426464,1
tt0079470,tt0361089,1
tt0970416,tt4426464,1
tt0970416,tt0361089,1
tt4426464,tt0361089,1
tt0084352,tt0089670,1
tt0079470,tt0089670,1
tt0091059,tt0089791,1
tt3709552,tt1441951,1
tt3709552,tt0346156,1
tt3709552,tt0330373,1
tt1441951,tt0346156,1
tt1441951,tt0330373,1
tt0346156,tt0330373,1
tt0104868,tt0101452,1
tt6723592,tt0120891,1
tt6723592,tt6679794,1
tt1759744,tt7653254,1
tt1230204,tt1618434,1
tt1230204,tt0800320,1
tt1618434,tt0800320,1
tt1230204,tt0118692,1
tt1230204,tt0361089,1
tt1230204,tt0117110,1
tt0118692,tt0361089,1
tt0118692,tt0117110,1
tt0361089,tt0117110,1
